timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752172196995,43,HTTP Request,200,,Thread Group 1-16,text,true,,351,638,31,31,http://localhost:8081/transactions,43,0,0
1752172197016,25,HTTP Request,200,,Thread Group 1-6,text,true,,351,638,31,31,http://localhost:8081/transactions,25,0,0
1752172197034,7,HTTP Request,200,,Thread Group 1-22,text,true,,351,638,31,31,http://localhost:8081/transactions,7,0,0
1752172196995,47,HTTP Request,200,,Thread Group 1-13,text,true,,351,638,32,32,http://localhost:8081/transactions,47,0,0
1752172197009,33,HTTP Request,200,,Thread Group 1-21,text,true,,351,638,32,32,http://localhost:8081/transactions,33,0,0
1752172196992,51,HTTP Request,200,,Thread Group 1-5,text,true,,351,638,32,32,http://localhost:8081/transactions,51,0,0
1752172196990,53,HTTP Request,200,,Thread Group 1-8,text,true,,351,638,32,32,http://localhost:8081/transactions,53,0,0
1752172196991,52,HTTP Request,200,,Thread Group 1-9,text,true,,351,638,32,32,http://localhost:8081/transactions,52,0,0
1752172196991,52,HTTP Request,200,,Thread Group 1-2,text,true,,351,638,32,32,http://localhost:8081/transactions,52,0,0
1752172197011,32,HTTP Request,200,,Thread Group 1-17,text,true,,351,638,32,32,http://localhost:8081/transactions,32,0,0
1752172197010,33,HTTP Request,200,,Thread Group 1-1,text,true,,351,638,32,32,http://localhost:8081/transactions,33,0,0
1752172197010,34,HTTP Request,200,,Thread Group 1-23,text,true,,351,638,32,32,http://localhost:8081/transactions,34,0,0
1752172197004,41,HTTP Request,200,,Thread Group 1-11,text,true,,351,638,32,32,http://localhost:8081/transactions,41,0,0
1752172197010,36,HTTP Request,200,,Thread Group 1-30,text,true,,351,638,33,33,http://localhost:8081/transactions,36,0,1
1752172196985,61,HTTP Request,200,,Thread Group 1-14,text,true,,351,638,33,33,http://localhost:8081/transactions,61,0,0
